Ref,MidX,MidY
C100,5.8800,-28.0800
C101,5.8800,-25.1800
C102,1.5300,-9.8800
C103,1.5300,-14.2400
C104,1.5300,-18.6000
C90,55.7925,-26.7512
C91,53.4200,-33.0800
D1,39.5000,-4.3500
D2,5.4000,-38.7500
D3,17.1000,-38.7500
D4,55.9000,-38.3500
D90,56.4400,-18.5500
D91,66.9000,-18.5500
H1,4.0000,-4.0000
H2,4.0000,-61.0000
H3,71.0000,-4.0000
H4,71.0000,-61.0000
J100,30.6100,-26.4000
J101,20.5900,-4.0200
J102,20.5900,-4.0200
J103,63.7200,-46.7700
J104,63.7700,-46.7700
J105,48.3900,-26.4000
J5,37.6000,-23.6000
J6,11.6000,-53.9000
J7,20.2000,-53.9000
J8,60.0000,-54.6000
J90,55.5400,-6.6000
J95,39.7500,-63.0000
J96,11.8100,-63.0000
Q1,37.5000,-14.1125
Q2,5.7875,-46.2000
Q3,17.4875,-46.2000
Q4,67.2875,-38.5000
Q90,65.4275,-11.1000
R100,5.8500,-30.9500
R101,10.1500,-30.9500
R102,10.2500,-25.1500
R104,5.8500,-33.8500
R105,10.1500,-33.8500
R90,53.3900,-1.4500
R91,57.6900,-1.4500
RG1,35.4500,-30.1500
RG2,36.4500,-33.2500
RG3,36.4500,-35.7500
RG4,61.9900,-1.4500
RP1,39.7500,-30.1500
RP2,40.7500,-33.2500
RP3,40.7500,-35.7500
RP4,61.9900,-3.9500
U100,17.8500,-20.0000
U101,5.4500,-22.1000
U102,16.2800,-25.7500
U103,20.8825,-25.6000
U90,66.6400,-24.7500
