Ref,MidX,MidY
C1,20.3800,-45.9800
C2,26.8800,-45.9800
C3,38.2525,-52.7512
D1,36.9000,-42.7500
H1,4.0000,-4.0000
H2,4.0000,-56.0000
H3,60.0000,-4.0000
H4,60.0000,-56.0000
J1,50.5800,-53.6000
J2,32.1300,-11.7300
J3,12.5000,-4.0200
J4,55.9700,-43.2700
R1,19.3500,-3.5500
R2,19.3500,-6.3500
U1,27.9300,-27.1100
U2,24.0000,-50.7500
